Unnamed: 0,Unnamed: 0.1,id,sequence,time,user_id,time_min,min,places,seq_list,user_duration_mean,user_duration_std,diff_mean,trimmed,trimmed_cnt,durations
0,0,20081103232153,--Ta0001Ta0001------Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002Ta0002---------------Ta0002Ta0002Ta0002Ta0002----Ta0003--,4:06:00,0,0 days 04:06:00,246,"['Ta0001', 'Ta0002', 'Ta0003']","['Ta0001', 'Ta0001', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0002', 'Ta0003']",394.7741935483871,255.26812771677453,-148.77419354838707,"['Ta0001', 'Ta0002', 'Ta0003']",3,"[2, 17, 1]"
1,1,20081112023003,Bs0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001------Kx0001Kx0001Ux0001----,2:37:00,0,0 days 02:37:00,157,"['Bs0001', 'Ux0001', 'Kx0001']","['Bs0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Kx0001', 'Kx0001', 'Ux0001']",394.7741935483871,255.26812771677453,-237.77419354838707,"['Bs0001', 'Ux0001', 'Kx0001', 'Ux0001']",4,"[1, 9, 2, 1]"
2,2,20081113034608,---Ux0002Ux0002Ux0002Ux0002Ux0002Ux0002Ux0002Ux0002--Rx0001--Rx0002Rx0002Rx0002Rx0002Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001Lx0001-Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001Ux0001---,10:25:00,0,0 days 10:25:00,625,"['Ux0002', 'Rx0001', 'Rx0002', 'Lx0001', 'Ux0001']","['Ux0002', 'Ux0002', 'Ux0002', 'Ux0002', 'Ux0002', 'Ux0002', 'Ux0002', 'Ux0002', 'Rx0001', 'Rx0002', 'Rx0002', 'Rx0002', 'Rx0002', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Lx0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001', 'Ux0001']",394.7741935483871,255.26812771677453,230.22580645161293,"['Ux0002', 'Rx0001', 'Rx0002', 'Lx0001', 'Ux0001']",5,"[8, 1, 4, 33, 34]"
3,3,20090330005208,-----Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003Ux0003--Ux0003-Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042Sx0042--------Sx0001Sx0001Sx0001Sx0001Sx0001Sx0001Sx0002Sx0002Sx0002Sx0002Sx0002-,5:27:00,0,0 days 05:27:00,327,"['Ux0003', 'Sx0042', 'Sx0001', 'Sx0002']","['Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Ux0003', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0042', 'Sx0001', 'Sx0001', 'Sx0001', 'Sx0001', 'Sx0001', 'Sx0001', 'Sx0002', 'Sx0002', 'Sx0002', 'Sx0002', 'Sx0002']",394.7741935483871,255.26812771677453,-67.77419354838707,"['Ux0003', 'Sx0042', 'Sx0001', 'Sx0002']",4,"[33, 16, 6, 5]"
4,4,20090331003904,--Rx0003Rx0003-Sx0003Sx0003Sx0003Sx0003Sx0004Sx0004Sx0004Sx0004Sx0004Sx0004Sx0138Sx0138Sx0138Sx0138Sx0138Sx0138Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004--Rx0004Rx0004Rx0004Rx0004Rx0004Rx0004Rx0004Rx0004Rx0004Rx0004----,3:51:00,0,0 days 03:51:00,231,"['Rx0003', 'Sx0003', 'Sx0004', 'Sx0138', 'Ux0004', 'Rx0004']","['Rx0003', 'Rx0003', 'Sx0003', 'Sx0003', 'Sx0003', 'Sx0003', 'Sx0004', 'Sx0004', 'Sx0004', 'Sx0004', 'Sx0004', 'Sx0004', 'Sx0138', 'Sx0138', 'Sx0138', 'Sx0138', 'Sx0138', 'Sx0138', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004', 'Rx0004']",394.7741935483871,255.26812771677453,-163.77419354838707,"['Rx0003', 'Sx0003', 'Sx0004', 'Sx0138', 'Ux0004', 'Rx0004']",6,"[2, 4, 6, 6, 50, 10]"
5,5,20090403011657,--Ux0005Ux0005----Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005Rx0005--------------Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004----Sx0234----------------------Sx0005Sx0005------------------------Rx0006Lx0005--------------------------Rx0007Rx0007Rx0007--------Rx0007--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,"1 day, 2:16:00",0,1 days 02:16:00,1576,"['Ux0005', 'Rx0005', 'Ux0004', 'Sx0234', 'Sx0005', 'Rx0006', 'Lx0005', 'Rx0007']","['Ux0005', 'Ux0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Rx0005', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Sx0234', 'Sx0005', 'Sx0005', 'Rx0006', 'Lx0005', 'Rx0007', 'Rx0007', 'Rx0007', 'Rx0007']",394.7741935483871,255.26812771677453,1181.225806451613,"['Ux0005', 'Rx0005', 'Ux0004', 'Sx0234', 'Sx0005', 'Rx0006', 'Lx0005', 'Rx0007']",8,"[2, 13, 42, 1, 2, 1, 1, 4]"
6,6,20090404064736,--------------Lx0002Lx0002Lx0002---Ta0004Ta0004Ta0005Ta0005Ta0005-Ta0006-----------Rx0008Rx0008Rx0008Rx0008Rx0008Rx0008Rx0008Rx0008Rx0008Rx0008Ta0007Ta0007Ta0007Ta0007Ta0007Ta0007Ta0007Ta0007Rx0009Rx0009Rx0010Rx0011Sx0006-Lx0003Sx0007Sx0007------------------,7:45:00,0,0 days 07:45:00,465,"['Lx0002', 'Ta0004', 'Ta0005', 'Ta0006', 'Rx0008', 'Ta0007', 'Rx0009', 'Rx0010', 'Rx0011', 'Sx0006', 'Lx0003', 'Sx0007']","['Lx0002', 'Lx0002', 'Lx0002', 'Ta0004', 'Ta0004', 'Ta0005', 'Ta0005', 'Ta0005', 'Ta0006', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Rx0008', 'Ta0007', 'Ta0007', 'Ta0007', 'Ta0007', 'Ta0007', 'Ta0007', 'Ta0007', 'Ta0007', 'Rx0009', 'Rx0009', 'Rx0010', 'Rx0011', 'Sx0006', 'Lx0003', 'Sx0007', 'Sx0007']",394.7741935483871,255.26812771677453,70.22580645161293,"['Lx0002', 'Ta0004', 'Ta0005', 'Ta0006', 'Rx0008', 'Ta0007', 'Rx0009', 'Rx0010', 'Rx0011', 'Sx0006', 'Lx0003', 'Sx0007']",12,"[3, 2, 3, 1, 10, 8, 2, 1, 1, 1, 1, 2]"
7,7,20090405051938,--------Sx0001Sx0001Sx0001Ux0004Ux0004Ux0004--Sx0001Sx0001Sx0001Sx0008Sx0008Sx0008Sx0008Sx0008Sx0008Rx0012Rx0012Rx0012Rx0012--Sx0009Sx0009Sx0009Sx0009Sx0009Sx0009Sx0236----Rx0013Rx0013Rx0013Rx0013Rx0013Rx0013Bs0002------Ta0008Ta0008Rx0014Rx0014Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015Rx0015--Rx0016Rx0016Rx0016Rx0016Rx0017Rx0017Rx0017----Rx0302Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Sx0011Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047Ux0047--Rx0018Rx0014Rx0303Ta0009--Qx0001Qx0001Sx0238--Rx0019Rx0019--------------------Kx0002----------,8:38:00,0,0 days 08:38:00,518,"['Sx0001', 'Ux0004', 'Sx0008', 'Rx0012', 'Sx0009', 'Sx0236', 'Rx0013', 'Bs0002', 'Ta0008', 'Rx0014', 'Rx0015', 'Rx0016', 'Rx0017', 'Rx0302', 'Sx0011', 'Ux0047', 'Rx0018', 'Rx0303', 'Ta0009', 'Qx0001', 'Sx0238', 'Rx0019', 'Kx0002']","['Sx0001', 'Sx0001', 'Sx0001', 'Ux0004', 'Ux0004', 'Ux0004', 'Sx0001', 'Sx0001', 'Sx0001', 'Sx0008', 'Sx0008', 'Sx0008', 'Sx0008', 'Sx0008', 'Sx0008', 'Rx0012', 'Rx0012', 'Rx0012', 'Rx0012', 'Sx0009', 'Sx0009', 'Sx0009', 'Sx0009', 'Sx0009', 'Sx0009', 'Sx0236', 'Rx0013', 'Rx0013', 'Rx0013', 'Rx0013', 'Rx0013', 'Rx0013', 'Bs0002', 'Ta0008', 'Ta0008', 'Rx0014', 'Rx0014', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0015', 'Rx0016', 'Rx0016', 'Rx0016', 'Rx0016', 'Rx0017', 'Rx0017', 'Rx0017', 'Rx0302', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Sx0011', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Ux0047', 'Rx0018', 'Rx0014', 'Rx0303', 'Ta0009', 'Qx0001', 'Qx0001', 'Sx0238', 'Rx0019', 'Rx0019', 'Kx0002']",394.7741935483871,255.26812771677453,123.22580645161293,"['Sx0001', 'Ux0004', 'Sx0001', 'Sx0008', 'Rx0012', 'Sx0009', 'Sx0236', 'Rx0013', 'Bs0002', 'Ta0008', 'Rx0014', 'Rx0015', 'Rx0016', 'Rx0017', 'Rx0302', 'Sx0011', 'Ux0047', 'Rx0018', 'Rx0014', 'Rx0303', 'Ta0009', 'Qx0001', 'Sx0238', 'Rx0019', 'Kx0002']",25,"[3, 3, 3, 6, 4, 6, 1, 6, 1, 2, 2, 22, 4, 3, 1, 16, 15, 1, 1, 1, 1, 2, 1, 2, 1]"
8,8,20090406023702,--Kx0003Kx0003Kx0003--Sx0012--------------------Tx0001Tx0001Tx0001Tx0001Tx0001Tx0001Tx0001Tx0001Lx0004Lx0004Lx0004Lx0004--------------Ag0001Ag0001Ag0001Ag0001----------------Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Rx0020Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Sx0198Ux0006Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021Rx0021--,8:06:00,0,0 days 08:06:00,486,"['Kx0003', 'Sx0012', 'Tx0001', 'Lx0004', 'Ag0001', 'Ux0004', 'Rx0020', 'Sx0198', 'Ux0006', 'Rx0021']","['Kx0003', 'Kx0003', 'Kx0003', 'Sx0012', 'Tx0001', 'Tx0001', 'Tx0001', 'Tx0001', 'Tx0001', 'Tx0001', 'Tx0001', 'Tx0001', 'Lx0004', 'Lx0004', 'Lx0004', 'Lx0004', 'Ag0001', 'Ag0001', 'Ag0001', 'Ag0001', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Rx0020', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Sx0198', 'Ux0006', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021', 'Rx0021']",394.7741935483871,255.26812771677453,91.22580645161293,"['Kx0003', 'Sx0012', 'Tx0001', 'Lx0004', 'Ag0001', 'Ux0004', 'Rx0020', 'Sx0198', 'Ux0006', 'Rx0021']",10,"[3, 1, 8, 4, 4, 12, 19, 19, 1, 18]"
9,9,20090411052358,----Rx0022Rx0022Rx0022Rx0022-Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Bs0003Lx0005-Ux0007Ux0007Ux0007Ux0007Ux0007Ux0007Ux0007Ux0007Ux0007Ux0007Ux0007Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Ux0004Bs0003---------------------------,3:19:00,0,0 days 03:19:00,199,"['Rx0022', 'Bs0003', 'Lx0005', 'Ux0007', 'Ux0004']","['Rx0022', 'Rx0022', 'Rx0022', 'Rx0022', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Bs0003', 'Lx0005', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0007', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Ux0004', 'Bs0003']",394.7741935483871,255.26812771677453,-195.77419354838707,"['Rx0022', 'Bs0003', 'Lx0005', 'Ux0007', 'Ux0004', 'Bs0003']",6,"[4, 12, 1, 11, 11, 1]"
