,place_id,type,lat,lng,name,type_id
0,ChIJ____8p9W8DUR_ttJq3djlis,"bakery,store,restaurant",40.0049001,116.3236523,ÑÑ?à÷ßÔ,
1,ChIJ____8p9W8DURDe-GDzCrtPA,"store,bakery,restaurant",40.0049001,116.3236523,???,Sx0031
2,ChIJ___7-0JM8DURQP9AWQtZymo,lodging,39.8448783,116.3578056,Shenggao Hotel Caoqiao Subway Station,Lx0255
3,ChIJ___7xpxW8DURQSShgF2XhjQ,store,40.0139694,116.3207234,ß²Üý?èâ??éÄù¡,Sx0333
4,ChIJ___P0wRT8DURrXLzGHo9XCk,lodging,39.9391371,116.3836537,WeLight Youth Hostel,Lx0376
5,ChIJ___PK4lN8DURiwBz9bS8fx8,lodging,39.895961,116.357183,Hilton Beijing Daxing,Lx0451
6,ChIJ___PrjVN8DUR5BBPa5X49ss,restaurant,39.8649695,116.4160232,ÑÎßÔ??,Rx1342
7,ChIJ___PRKys8TURogYUszR1Pg4,restaurant,39.954629,116.4231236,???,Rx0577
8,ChIJ___PsTdS8DURgPrTCVgbSec,lodging,39.9338579,116.346391,7Days Inn Beijing Xizhimen Gallery,Lx0134
9,ChIJ___vBlKq8TURvdVxsWSBYRQ,lodging,39.99026,116.4781116,Beijing Meishi Meike Aparthotel,
10,ChIJ___vBqNN8DURBRLOnFpxYGo,lodging,39.8770687,116.3630861,Shu Ya Hotel,Lx0342
11,ChIJ___vTphS8DURTFvQXNUrtZs,restaurant,39.8996449,116.3933373,ÓìÐºÞÍ,Rx1454
12,ChIJ__-_jn6r8TURTXsAQTs7-Nc,lodging,39.9543438,116.4617111,7Days Inn Beijing Yansha Embassy of the United States,Lx0510
13,ChIJ__-jjhZN8DURvkLvh78LZyM,lodging,39.8670526,116.392392,Sweet Homestay,Lx0188
14,ChIJ__5sAlOr8TUR2a1tYdwNbdk,store,39.968463,116.421869,ýÛô¸Û°Íö?àò,Sx2496
15,ChIJ__8_3gEA8TURJ7IpD2TvfMw,"store,beauty_salon,restaurant",40.0419179,116.4196656,Ðº??ÑÖ,Sx0458
